n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2024-07-03 08:30:00,94,n,n,n,47,n,n,n,19,n,n,n,128.2,n,n,n,85,n,n,n,27,n,n,n,118,n,n,n,74,n,n,n,29,n,n,n,131,n,n,n,70,n,n,n,28,n,n,n
2024-07-03 09:30:00,63,n,n,n,33,n,n,n,6,n,n,n,41.7,n,n,n,24,n,n,n,9,n,n,n,54,n,n,n,35,n,n,n,15,n,n,n,47,n,n,n,27,n,n,n,17,n,n,n
2024-07-03 10:30:00,42,n,n,n,19,n,n,n,8,n,n,n,16.2,n,n,n,20,n,n,n,16,n,n,n,46,n,n,n,18,n,n,n,12,n,n,n,53,n,n,n,22,n,n,n,9,n,n,n
2024-07-03 11:30:00,50,n,n,n,23,n,n,n,13,n,n,n,21.1,n,n,n,19,n,n,n,5,n,n,n,32,n,n,n,22,n,n,n,10,n,n,n,79,n,n,n,31,n,n,n,11,n,n,n
2024-07-03 12:00:00,n,n,88.8,VM,n,n,47,VM,n,n,14.9,VM,n,n,55.2,VM,n,n,41.2,VM,n,n,15.6,VM,n,n,73.7,VM,n,n,43.2,VM,n,n,18.7,VM,n,n,67.2,VM,n,n,35.4,VM,n,n,17.6,VM
2024-07-03 12:30:00,49,n,n,n,23,n,n,n,8,n,n,n,13.9,n,n,n,17,n,n,n,9,n,n,n,31,n,n,n,17,n,n,n,18,n,n,n,45,n,n,n,22,n,n,n,13,n,n,n
2024-07-03 13:30:00,59,n,n,n,30,n,n,n,7,n,n,n,15.3,n,n,n,19,n,n,n,11,n,n,n,48,n,n,n,28,n,n,n,14,n,n,n,39,n,n,n,17,n,n,n,11,n,n,n
2024-07-03 14:30:00,40,n,n,n,23,n,n,n,8,n,n,n,19.4,n,n,n,17,n,n,n,6,n,n,n,33,n,n,n,19,n,n,n,11,n,n,n,73,n,n,n,28,n,n,n,9,n,n,n
2024-07-03 15:30:00,56,n,n,n,29,n,n,n,7,n,n,n,20.5,n,n,n,18,n,n,n,7,n,n,n,24,n,n,n,23,n,n,n,8,n,n,n,50,n,n,n,23,n,n,n,14,n,n,n
2024-07-03 16:30:00,133,n,n,n,62,n,n,n,11,n,n,n,87.9,n,n,n,46,n,n,n,13,n,n,n,30,n,n,n,20,n,n,n,9,n,n,n,37,n,n,n,18,n,n,n,9,n,n,n
2024-07-03 17:30:00,168,n,n,n,72,n,n,n,8,n,n,n,80.9,n,n,n,62,n,n,n,8,n,n,n,180,n,n,n,79,n,n,n,22,n,n,n,64,n,n,n,25,n,n,n,8,n,n,n
2024-07-03 18:30:00,83,n,n,n,47,n,n,n,11,n,n,n,90.8,n,n,n,47,n,n,n,17,n,n,n,187,n,n,n,94,n,n,n,37,n,n,n,55,n,n,n,24,n,n,n,11,n,n,n
2024-07-03 19:30:00,71,n,n,n,44,n,n,n,11,n,n,n,55.2,n,n,n,39,n,n,n,14,n,n,n,171,n,n,n,89,n,n,n,36,n,n,n,45,n,n,n,20,n,n,n,12,n,n,n
2024-07-03 20:30:00,90,n,n,n,52,n,n,n,8,n,n,n,29.6,n,n,n,19,n,n,n,11,n,n,n,131,n,n,n,73,n,n,n,34,n,n,n,39,n,n,n,20,n,n,n,16,n,n,n
2024-07-03 21:30:00,117,n,n,n,56,n,n,n,16,n,n,n,45.9,n,n,n,39,n,n,n,n,n,n,n,88,n,n,n,48,n,n,n,21,n,n,n,76,n,n,n,50,n,n,n,23,n,n,n
2024-07-03 22:30:00,117,n,n,n,72,n,n,n,18,n,n,n,70.7,n,n,n,51,n,n,n,13,n,n,n,82,n,n,n,45,n,n,n,13,n,n,n,63,n,n,n,31,n,n,n,19,n,n,n
2024-07-03 23:30:00,116,n,n,n,69,n,n,n,23,n,n,n,66.3,n,n,n,42,n,n,n,16,n,n,n,61,n,n,n,38,n,n,n,20,n,n,n,75,n,n,n,41,n,n,n,20,n,n,n
2024-07-04 00:30:00,90,n,n,n,52,n,n,n,18,n,n,n,59.3,n,n,n,48,n,n,n,22,n,n,n,39,n,n,n,34,n,n,n,17,n,n,n,77,n,n,n,36,n,n,n,20,n,n,n
2024-07-04 01:30:00,73,n,n,n,42,n,n,n,18,n,n,n,47.7,n,n,n,35,n,n,n,n,n,n,n,50,n,n,n,36,n,n,n,20,n,n,n,72,n,n,n,35,n,n,n,19,n,n,n
2024-07-04 02:30:00,66,n,n,n,36,n,n,n,18,n,n,n,48.5,n,n,n,41,n,n,n,14,n,n,n,42,n,n,n,29,n,n,n,13,n,n,n,60,n,n,n,30,n,n,n,18,n,n,n
2024-07-04 03:30:00,86,n,n,n,51,n,n,n,18,n,n,n,43.7,n,n,n,40,n,n,n,13,n,n,n,41,n,n,n,24,n,n,n,19,n,n,n,50,n,n,n,29,n,n,n,17,n,n,n
2024-07-04 04:30:00,46,n,n,n,28,n,n,n,16,n,n,n,46.2,n,n,n,40,n,n,n,20,n,n,n,43,n,n,n,30,n,n,n,15,n,n,n,44,n,n,n,28,n,n,n,16,n,n,n
2024-07-04 05:30:00,175,n,n,n,89,n,n,n,20,n,n,n,55,n,n,n,45,n,n,n,19,n,n,n,27,n,n,n,25,n,n,n,18,n,n,n,50,n,n,n,29,n,n,n,13,n,n,n
2024-07-04 06:30:00,137,n,n,n,85,n,n,n,28,n,n,n,99,n,n,n,77,n,n,n,25,n,n,n,94,n,n,n,42,n,n,n,19,n,n,n,67,n,n,n,34,n,n,n,16,n,n,n
2024-07-04 07:30:00,84,n,n,n,42,n,n,n,23,n,n,n,80.9,n,n,n,47,n,n,n,25,n,n,n,73,n,n,n,46,n,n,n,18,n,n,n,99,n,n,n,53,n,n,n,29,n,n,n
2024-07-04 08:30:00,71,n,n,n,47,n,n,n,22,n,n,n,84.6,n,n,n,64,n,n,n,29,n,n,n,109,n,n,n,59,n,n,n,30,n,n,n,158,n,n,n,80,n,n,n,27,n,n,n
2024-07-04 09:30:00,63,n,n,n,39,n,n,n,28,n,n,n,70.4,n,n,n,52,n,n,n,18,n,n,n,68,n,n,n,38,n,n,n,24,n,n,n,84,n,n,n,40,n,n,n,18,n,n,n
2024-07-04 10:30:00,67,n,n,n,41,n,n,n,18,n,n,n,38.1,n,n,n,35,n,n,n,13,n,n,n,49,n,n,n,20,n,n,n,16,n,n,n,56,n,n,n,33,n,n,n,12,n,n,n
2024-07-04 11:30:00,55,n,n,n,27,n,n,n,6,n,n,n,18.4,n,n,n,22,n,n,n,13,n,n,n,33,n,n,n,19,n,n,n,8,n,n,n,38,n,n,n,17,n,n,n,12,n,n,n
2024-07-04 12:00:00,n,n,89.3,VM,n,n,46.7,VM,n,n,17,VM,n,n,87.9,VM,n,n,60.1,VM,n,n,18.1,VM,n,n,72.9,VM,n,n,41.2,VM,n,n,19.5,VM,n,n,72.2,VM,n,n,39.4,VM,n,n,17.7,VM
2024-07-04 12:30:00,40,n,n,n,18,n,n,n,7,n,n,n,48.4,n,n,n,48,n,n,n,12,n,n,n,30,n,n,n,17,n,n,n,8,n,n,n,60,n,n,n,28,n,n,n,12,n,n,n
2024-07-04 13:30:00,47,n,n,n,29,n,n,n,9,n,n,n,448.4,n,n,n,315,n,n,n,16,n,n,n,46,n,n,n,25,n,n,n,13,n,n,n,38,n,n,n,20,n,n,n,8,n,n,n
2024-07-04 14:30:00,111,n,n,n,24,n,n,n,11,n,n,n,240.6,n,n,n,34,n,n,n,14,n,n,n,66,n,n,n,27,n,n,n,10,n,n,n,46,n,n,n,29,n,n,n,9,n,n,n
2024-07-04 15:30:00,49,n,n,n,29,n,n,n,16,n,n,n,38.2,n,n,n,31,n,n,n,17,n,n,n,38,n,n,n,27,n,n,n,10,n,n,n,48,n,n,n,23,n,n,n,14,n,n,n
2024-07-04 16:30:00,47,n,n,n,30,n,n,n,9,n,n,n,48.1,n,n,n,34,n,n,n,11,n,n,n,53,n,n,n,35,n,n,n,18,n,n,n,50,n,n,n,24,n,n,n,12,n,n,n
