n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2023-11-03 11:30:00,46.6,n,n,n,27,n,n,n,8,n,n,n,76,n,n,n,7,n,n,n,6,n,n,n,18.2,n,n,n,16,n,n,n,2,n,n,n,n,n,n,n,8,n,n,n,6,n,n,n
2023-11-03 12:00:00,n,n,33.5,VM,n,n,19.7,VM,n,n,6.5,VM,n,n,30.5,VM,n,n,n,n,n,n,7.9,VM,n,n,30.9,VM,n,n,19.2,VM,n,n,7.5,VM,n,n,24.7,VM,n,n,13.1,VM,n,n,8.2,VM
2023-11-03 12:30:00,38,n,n,n,25,n,n,n,5,n,n,n,23.9,n,n,n,n,n,n,n,5,n,n,n,21.2,n,n,n,17,n,n,n,5,n,n,n,50.7,n,n,n,8,n,n,n,6,n,n,n
2023-11-03 13:30:00,n,n,n,n,n,n,n,n,n,n,n,n,25.8,n,n,n,n,n,n,n,7,n,n,n,23.7,n,n,n,12,n,n,n,6,n,n,n,20,n,n,n,6,n,n,n,7,n,n,n
2023-11-03 14:30:00,41,n,n,n,25,n,n,n,3,n,n,n,23,n,n,n,n,n,n,n,7,n,n,n,25.5,n,n,n,13,n,n,n,2,n,n,n,13,n,n,n,17,n,n,n,6,n,n,n
2023-11-03 15:30:00,41.3,n,n,n,24,n,n,n,3,n,n,n,24.5,n,n,n,n,n,n,n,6,n,n,n,27.8,n,n,n,13,n,n,n,8,n,n,n,8.7,n,n,n,11,n,n,n,8,n,n,n
2023-11-03 16:30:00,37.8,n,n,n,22,n,n,n,9,n,n,n,27.8,n,n,n,n,n,n,n,5,n,n,n,30,n,n,n,16,n,n,n,6,n,n,n,21.2,n,n,n,8,n,n,n,6,n,n,n
2023-11-03 17:30:00,41.6,n,n,n,25,n,n,n,8,n,n,n,37.4,n,n,n,n,n,n,n,9,n,n,n,28.6,n,n,n,17,n,n,n,7,n,n,n,22.2,n,n,n,14,n,n,n,6,n,n,n
2023-11-03 18:30:00,39,n,n,n,24,n,n,n,8,n,n,n,55.5,n,n,n,n,n,n,n,13,n,n,n,46.3,n,n,n,25,n,n,n,8,n,n,n,21.3,n,n,n,12,n,n,n,7,n,n,n
2023-11-03 19:30:00,37.8,n,n,n,22,n,n,n,6,n,n,n,37.7,n,n,n,n,n,n,n,9,n,n,n,51.9,n,n,n,29,n,n,n,14,n,n,n,44,n,n,n,36,n,n,n,13,n,n,n
2023-11-03 20:30:00,25.6,n,n,n,12,n,n,n,8,n,n,n,33.8,n,n,n,n,n,n,n,11,n,n,n,49.2,n,n,n,34,n,n,n,9,n,n,n,47.6,n,n,n,12,n,n,n,9,n,n,n
